Cierre,Date,Cartera,Close,Saldo
201507,2015-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,182979645.9,981652960.4
201508,2015-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,184526391.1,977700096.6
201509,2015-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,185884705.6,973230560.6
201510,2015-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,187852940,970159794.1
201511,2015-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,189775360.8,966751358.6
201512,2015-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,190900001.7,962245145.3
201601,2016-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,199609277.2,956640171.9
201602,2016-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,200894535.6,952853069.9
201603,2016-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,202398548,989398321.6
201604,2016-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,204225832.8,985674786.8
201605,2016-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,205309527,980364948.7
201606,2016-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,204949745.7,972366178
201607,2016-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,205611549.1,966395402
201608,2016-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,205834228.6,961533429.3
201609,2016-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,206780138.6,956909485
201610,2016-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,207125288.7,951880683.2
201611,2016-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,208208966.2,946835156.5
201612,2016-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,214357387.5,942752525.9
201701,2017-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,229569617.7,937057679.3
201702,2017-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,230034281.4,932516049
